# generated by run.sh -- do not hand-edit
# date: 2026-09-10T05:40:19Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/iteration
cpu: QEMU Virtual CPU version 2.5+
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9321757	        26.11 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9263317	        26.19 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9316912	        26.12 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 8975731	        26.35 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9392536	        25.99 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9148137	        26.25 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9074358	        26.26 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9051915	        26.47 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9083425	        25.94 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/A_KeysOf-23 	 9134929	        26.57 ns/op	      40 B/op	       2 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	22056272	        10.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	22437457	        10.94 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	22105771	        10.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	21114955	        10.92 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	22806026	        10.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	22375815	        10.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	21858992	        10.85 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	22685145	        10.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	21761076	        10.89 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/unordered/B_Keys-23   	21883293	        11.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 8068836	        30.12 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 8251862	        29.74 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 7698681	        29.89 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 8127156	        29.52 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 8355514	        29.42 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 8210103	        29.67 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 8278840	        29.69 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 7944296	        29.70 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 8051214	        30.10 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/A_KeysOf-23   	 7955628	        29.72 ns/op	      72 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8557584	        29.24 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8215546	        29.01 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8284584	        28.93 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8398282	        29.49 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 7981345	        29.37 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8582347	        29.08 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8343454	        29.20 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8108340	        28.65 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 8146116	        29.30 ns/op	      96 B/op	       2 allocs/op
BenchmarkABConstruct/ordered/B_Keys-23     	 7898570	        29.84 ns/op	      96 B/op	       2 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1814492	       133.0 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1832101	       131.5 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1814354	       132.0 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1849514	       131.4 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1807419	       131.8 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1812801	       132.7 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1774813	       133.8 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1810615	       134.7 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1765927	       135.7 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/A-23           	 1825545	       131.5 ns/op	     232 B/op	       6 allocs/op
BenchmarkABBuild8/unordered/B-23           	 2341021	       101.8 ns/op	     192 B/op	       4 allocs/op
